id 0	NA IP OA
id 340	IP OP DS RV
id 341	IN EN
id 342	NA PB
id 343	HI
id 344	LY SO
id 345	IP DS
id 346	NA IN PB DP
id 347	ID DF
id 348	NA PB
id 349	IP DS
id 350	IP IN DS FA
id 351	IP NA DS PB
id 352	IN HI DT
id 353	NA NE
id 354	NA HA
id 355	IN EN
id 356	NA NE
id 357	OP IN AV IB
id 358	NA CB
id 359	IP DS
id 360	NA PB
id 361	IN HI DT
id 362	IN EN
id 363	IN EN
id 364	NA CB
id 365	IN DT
id 366	NA NE
id 367	NA CB NE
id 368	IP DS
id 369	IN LT
id 370	IN EN
id 371	IP DS
id 372	IN EN
id 373	IN EN
id 374	IP DS
id 375	IN LT
id 376	NA NE
id 377	HI
id 378	NA NE
id 379	NA PB
id 380	IP DS
id 381	IN HI DT
id 382	IN OP FA AV
id 383	IN LT
id 384	IP IN DS DP
id 385	NA PB
id 386	NA NE
id 387	IP
id 388	IP DS
id 389	IN EN
id 390	NA NE
id 391	IN IB
id 392	HI
id 393	NA NE
id 394	NA PB
id 395	IP DS
id 396	IP
id 397	NA NE
id 398	NA PB
id 399	NA NE
id 400	IP
id 401	IP DS
id 402	OP RV
id 403	IP
id 404	NA NE
id 405	NA PB
id 406	NA OP CB OB
id 407	IN NA DP PB
id 408	IP
id 409	NA SP SR IT
id 410	IP DS
id 411	IN EN
id 412	OP IP AV
id 413	HI
id 414	NA PB
id 415	IN EN
id 416	IP DS
id 417	NA PB
id 418	NA SP NE IT
id 419	IN EN
id 420	IP DS
id 421	IP DS
id 422	IN EN
id 423	NA IN HA DP
id 424	NA PB SR
id 425	IN EN
id 426	IN IB
id 427	ID DF
id 428	IN EN
id 429	IN EN
id 430	IP HI DS
id 431	IP DS
id 432	NA PB
id 433	IN LT
id 434	IP EB
id 435	ID
id 436	NA PB
id 437	OP OB
id 438	IP DS
id 439	NA SR
id 440	IN DP
id 441	IP EB
id 442	IP
id 443	NA NE
id 444	NA OA
id 445	IP DS
id 446	IP DS
id 447	NA PB
id 448	IN EN
id 449	IN EN
id 450	NA IP PB
id 451	IP DS
id 452	IN EN
id 453	NA NE
id 454	NA PB
id 455	IP
id 456	NA IP PB DS
id 457	NA PB HA
id 458	NA SR
id 459	NA PB
id 460	IP
id 461	IN FA
id 462	OP NA RV PB
